UTCDate,UTCTime,Latitude,Longitude,Easting,Northing,H-Ell,SDHori,SDHeig,VEast,VNorth,VUp,H Dist,V Dist
7/12/14,12:33:29 AM,66.37389812,-38.16610905,537291.624,7361835.44,164.663,0.019,0.035,0,0,0.0036,3.74635316,-0.004
7/12/14,1:04:29 AM,66.37389684,-38.16609952,537292.053,7361835.304,164.614,0.02,0.029,0,-0.0018,-0.0018,4.195939585,-0.053
7/12/14,1:35:14 AM,66.37389601,-38.16608998,537292.481,7361835.217,164.615,0.018,0.028,-0.0001,0.0035,-0.0001,4.631882986,-0.052
7/12/14,2:05:59 AM,66.37389506,-38.16608035,537292.912,7361835.117,164.609,0.018,0.03,0,-0.0036,-0.0072,5.074143967,-0.058
7/12/14,2:36:44 AM,66.37389389,-38.16607113,537293.327,7361834.992,164.638,0.017,0.033,0,-0.0018,-0.0036,5.507291258,-0.029
7/12/14,3:07:44 AM,66.37389255,-38.16606209,537293.733,7361834.848,164.598,0.015,0.029,0.0036,0.0018,0.0036,5.936725444,-0.069
7/12/14,3:38:29 AM,66.37389195,-38.16605249,537294.163,7361834.787,164.643,0.016,0.028,0.0071,0.0071,0.0103,6.367934987,-0.024
7/12/14,4:09:14 AM,66.37389069,-38.16604366,537294.56,7361834.652,164.662,0.018,0.031,-0.0036,-0.0052,0.0095,6.78625449,-0.005
7/12/14,4:40:14 AM,66.37388969,-38.16603516,537294.941,7361834.546,164.751,0.023,0.06,0.0036,0,-0.0396,7.181703767,0.084
7/12/14,5:10:59 AM,66.3738889,-38.16602573,537295.364,7361834.463,164.635,0.018,0.031,0,0.0018,-0.0054,7.611843732,-0.032
7/12/14,5:41:59 AM,66.37388774,-38.16601628,537295.789,7361834.339,164.614,0.017,0.031,0.0018,-0.0018,-0.0036,8.054417421,-0.053
7/12/14,6:12:44 AM,66.37388663,-38.16600757,537296.18,7361834.221,164.621,0.02,0.027,0,0,0,8.462607695,-0.046
7/12/14,6:43:29 AM,66.37388551,-38.16599847,537296.588,7361834.102,164.604,0.019,0.033,0.0018,0,0.0036,8.887498298,-0.063
7/12/14,7:14:29 AM,66.37388438,-38.16598927,537297.001,7361833.981,164.588,0.019,0.034,0,-0.0018,0,9.317746723,-0.079
7/12/14,7:45:14 AM,66.37388346,-38.16598012,537297.412,7361833.884,164.567,0.024,0.047,0.0011,-0.0061,-0.0028,9.739844455,-0.1
7/12/14,8:15:59 AM,66.37388239,-38.16597097,537297.823,7361833.77,164.587,0.022,0.037,-0.0018,-0.0018,-0.0036,10.16634452,-0.08
7/12/14,8:46:44 AM,66.3738813,-38.16596157,537298.244,7361833.654,164.592,0.019,0.033,0,0,-0.0018,10.60302268,-0.075
7/12/14,9:17:44 AM,66.37388038,-38.16595229,537298.661,7361833.557,164.548,0.019,0.034,0.0018,0,0.0036,11.03092471,-0.119
7/12/14,9:48:29 AM,66.37387919,-38.16594246,537299.102,7361833.43,164.512,0.017,0.033,0.0018,0,0.0036,11.48976249,-0.155
