UTCDate,UTCTime,Latitude,Longitude,Easting,Northing,H-Ell,SDHori,SDHeig,VEast,VNorth,VUp,H Dist,V Dist
7/12/14,12:33:29 AM,66.37218589,-38.20026362,535766.741,7361624.644,172.368,0.018,0.035,0,0,0.0018,3.255231482,0.022
7/12/14,1:04:29 AM,66.37218502,-38.20025449,535767.15,7361624.552,172.317,0.017,0.025,0,-0.0018,-0.0018,3.674038786,-0.029
7/12/14,1:35:14 AM,66.37218456,-38.20024542,535767.557,7361624.506,172.341,0.017,0.026,0,0,-0.0018,4.082803938,-0.005
7/12/14,2:05:29 AM,66.37218393,-38.20023647,535767.958,7361624.442,172.349,0.017,0.029,0.0072,0.0036,0.0036,4.488840051,0.003
7/12/14,2:36:44 AM,66.3721833,-38.20022735,535768.367,7361624.376,172.393,0.017,0.032,0,-0.0036,-0.0054,4.903105954,0.047
7/12/14,3:10:59 AM,66.37218362,-38.20021999,535768.695,7361624.416,172.116,0.015,0.029,0.0036,0,0.0144,5.220427569,-0.23
7/12/14,3:38:29 AM,66.37218198,-38.20021047,535769.124,7361624.238,172.354,0.015,0.027,0.0019,0.0019,0.0038,5.672549779,0.008
7/12/14,4:09:14 AM,66.37218138,-38.20020143,535769.529,7361624.177,172.435,0.016,0.029,-0.0018,-0.0018,0.0072,6.082022443,0.089
7/12/14,4:40:14 AM,66.37218049,-38.20019305,535769.904,7361624.082,172.46,0.023,0.054,0.0072,0,-0.036,6.46776909,0.114
7/12/14,5:10:59 AM,66.37218025,-38.20018408,535770.306,7361624.061,172.384,0.016,0.03,0,0.0018,-0.0054,6.867463141,0.038
7/12/14,5:41:59 AM,66.37217942,-38.20017528,535770.701,7361623.974,172.364,0.016,0.03,0.0018,-0.0018,-0.0018,7.271472478,0.018
7/12/14,6:12:44 AM,66.37217859,-38.20016672,535771.085,7361623.886,172.378,0.016,0.026,0,0,0,7.664866861,0.032
7/12/14,6:43:29 AM,66.37217788,-38.20015801,535771.475,7361623.812,172.355,0.017,0.03,0.0018,0,0.0018,8.061787395,0.009
7/12/14,7:14:29 AM,66.37217699,-38.20014937,535771.863,7361623.718,172.34,0.018,0.032,0,-0.0001,-0.0001,8.460241368,-0.006
7/12/14,7:45:14 AM,66.37217671,-38.20014053,535772.259,7361623.691,172.338,0.022,0.04,0.0019,-0.0069,-0.0017,8.854911914,-0.008
7/12/14,8:15:59 AM,66.37217594,-38.20013194,535772.644,7361623.611,172.396,0.02,0.036,-0.0018,-0.0018,-0.0054,9.247934364,0.05
7/12/14,8:46:59 AM,66.37217529,-38.2001225,535773.067,7361623.543,172.357,0.015,0.027,0.0018,0,-0.0018,9.676324147,0.011
7/12/14,9:17:44 AM,66.37217444,-38.20011385,535773.455,7361623.454,172.357,0.015,0.028,0,0,0.0036,10.07387294,0.011
